# Downloaded on 2020-02-05 from https://sandbag.org.uk/carbon-price-viewer/ by Markus Fleschutz

"Date","Price"
"2008-04-07 00:00:00",25,3525
"2008-04-14 00:00:00",26,18
"2008-04-21 00:00:00",26,357999999999997
"2008-04-28 00:00:00",25,532
"2008-05-05 00:00:00",26,47
"2008-05-12 00:00:00",26,222
"2008-05-19 00:00:00",27,024
"2008-05-26 00:00:00",27,506
"2008-06-02 00:00:00",28,068
"2008-06-09 00:00:00",28,546
"2008-06-16 00:00:00",28,741999999999997
"2008-06-23 00:00:00",29,601999999999997
"2008-06-30 00:00:00",30,52
"2008-07-07 00:00:00",28,922000000000004
"2008-07-14 00:00:00",27,979999999999997
"2008-07-21 00:00:00",26,952000000000005
"2008-07-28 00:00:00",24,924
"2008-08-04 00:00:00",24,208000000000002
"2008-08-11 00:00:00",25,342
"2008-08-18 00:00:00",26,282
"2008-08-25 00:00:00",27,016
"2008-09-01 00:00:00",26,662
"2008-09-08 00:00:00",25,324
"2008-09-15 00:00:00",25,448
"2008-09-22 00:00:00",26,47
"2008-09-29 00:00:00",24,62
"2008-10-06 00:00:00",23,642000000000003
"2008-10-13 00:00:00",23,804000000000002
"2008-10-20 00:00:00",21,752000000000002
"2008-10-27 00:00:00",18,967999999999996
"2008-11-03 00:00:00",19,564
"2008-11-10 00:00:00",19,074
"2008-11-17 00:00:00",17,194
"2008-11-24 00:00:00",17,127999999999997
"2008-12-01 00:00:00",16,252
"2008-12-08 00:00:00",15,858
"2008-12-15 00:00:00",16,368000000000002
"2008-12-22 00:00:00",16,36
"2008-12-29 00:00:00",16,3825
"2009-01-05 00:00:00",15,656
"2009-01-12 00:00:00",13,756
"2009-01-19 00:00:00",11,978
"2009-01-26 00:00:00",12,233999999999998
"2009-02-02 00:00:00",10,835999999999999
"2009-02-09 00:00:00",9,198
"2009-02-16 00:00:00",9,834
"2009-02-23 00:00:00",10,27
"2009-03-02 00:00:00",11,422
"2009-03-09 00:00:00",12,526
"2009-03-16 00:00:00",12,85
"2009-03-23 00:00:00",11,844000000000001
"2009-03-30 00:00:00",12,632
"2009-04-06 00:00:00",13,495000000000001
"2009-04-13 00:00:00",14,556000000000001
"2009-04-20 00:00:00",14,104
"2009-04-27 00:00:00",14,569999999999999
"2009-05-04 00:00:00",15,484
"2009-05-11 00:00:00",15,573999999999998
"2009-05-18 00:00:00",15,6
"2009-05-25 00:00:00",15,773999999999997
