Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
01.01.2018;00:00;-;21,8;26,33;6,74;-;27,2;-;26,33;36,99;4,9;-10;4,29;-;-5,27
01.01.2018;01:00;-;26,43;26,43;4,74;-;27,3;-;26,43;31,08;3;-19;0,22;-;-29,99
01.01.2018;02:00;-;26,1;26,1;3,66;-;30,1;-;26,1;29,17;1;-20,1;0,21;-;-56,65
01.01.2018;03:00;-;24,7;24,7;1,26;-;20,87;-;24,7;21,96;1;-26,9;0,07;-;-63,14
01.01.2018;04:00;-;24,74;24,74;-20,1;-;25,56;-;24,74;14,96;-42,5;-27,5;-17,44;-;-64,62
01.01.2018;05:00;-;18,01;18,01;-31,82;-;25,58;-;18,01;-5,92;-67;-34;-25,97;-;-67
01.01.2018;06:00;-;10,18;10,18;-28,66;-;25,81;-;17,78;-6,1;-72,54;-35;0,03;-;-72,54
01.01.2018;07:00;-;17,8;17,8;-13,71;-;29,9;-;17,8;-10,02;-76,01;-30;0,03;-;-76,01
01.01.2018;08:00;-;19,76;19,76;-4,14;-;26,33;-;19,76;-5,71;-50;-35;0,08;-;-71,45
01.01.2018;09:00;-;20,73;20,73;2,03;-;26,38;-;20,73;-1,88;0,15;-21;0,11;-;-66,88
01.01.2018;10:00;-;24,76;24,76;-15,51;-;29,9;-;24,76;-10,48;0,15;-4,01;0,21;-;-62
01.01.2018;11:00;-;25,68;25,68;-0,42;-;34,9;-;25,68;-6,79;0,15;-2;0,21;-;-56,08
01.01.2018;12:00;-;16,56;19,99;2,3;-;35,8;-;24,09;8,57;-19,01;-4,01;0,21;-;-49,96
01.01.2018;13:00;-;13,21;25,01;2,3;-;40,4;-;25,01;8,53;-17,01;-2,01;0,21;-;-24,29
01.01.2018;14:00;-;9,15;25,81;5;-;34,15;-;25,81;8,52;-5,59;1,85;2,15;-;-5,59
01.01.2018;15:00;-;13,29;26,46;8,56;-;31;-;26,46;8,6;0,23;6,03;6,03;-;0,23
01.01.2018;16:00;-;27,03;27,03;9,42;-;30;-;27,03;16,98;11,02;15;15;-;11,02
01.01.2018;17:00;-;27,43;27,43;12,46;-;34,3;-;27,43;37,43;23,5;22,38;22,38;-;23,5
01.01.2018;18:00;-;27,29;27,29;15,93;-;30,5;-;27,29;41,19;22,91;25,99;25,99;-;22,91
01.01.2018;19:00;-;26,96;26,96;22,02;-;32;-;26,96;44,61;21,02;26,54;26,54;-;21,02
01.01.2018;20:00;-;26,7;26,7;20;-;32;-;26,7;40,67;21,05;28,7;28,7;-;21,05
01.01.2018;21:00;-;26,47;26,47;21,95;-;27,34;-;26,47;39,42;21,95;26;26;-;21,95
01.01.2018;22:00;-;26,09;26,09;23,52;-;27,4;-;26,09;36,06;23,52;25,02;25,02;-;23,52
01.01.2018;23:00;-;24,88;24,88;16,35;-;23,79;-;24,88;32,98;18,96;17,35;17,35;-;18,96
02.01.2018;00:00;-;18,12;18,12;14,43;-;25,07;-;25,28;36,39;18,12;17,99;17,99;-;18,12
02.01.2018;01:00;-;14,99;14,99;10,26;-;23,19;-;23,16;36,54;14,99;16,91;16,91;-;14,99
02.01.2018;02:00;-;17,79;17,79;7,48;-;25,03;-;24,78;30,97;11;13,92;13,92;-;13,63
02.01.2018;03:00;-;24,51;24,51;4,52;-;24,76;-;25,03;19,98;10;10,27;10,27;-;12,15
02.01.2018;04:00;-;11,83;17,82;4,24;-;24,91;-;25,73;21,6;11,83;12,7;12,7;-;11,83
02.01.2018;05:00;-;14,55;26,84;8,36;-;25,98;-;26,84;38,4;14,55;17,99;17,99;-;14,55
02.01.2018;06:00;-;22,58;27,8;22,58;-;22,58;-;27,8;41,04;22,58;27,65;27,65;-;22,58
02.01.2018;07:00;-;41,92;41,92;41,92;-;41,92;-;30,5;44,92;41,92;35,97;35,97;-;41,92
02.01.2018;08:00;-;47,95;47,95;47,95;-;47,95;-;31,93;49,05;47,95;39,8;39,8;-;47,95
02.01.2018;09:00;-;38,02;38,02;49,9;-;49,9;-;33,53;51,26;49,9;43,64;43,64;-;49,9
02.01.2018;10:00;-;35,04;35,04;50;-;50;-;35,04;51,22;50;43,64;43,64;-;50
02.01.2018;11:00;-;35,22;35,22;49,7;-;49,7;-;35,22;49,04;49,7;44,47;44,47;-;49,7
02.01.2018;12:00;-;34,56;34,56;48,16;-;48,16;-;34,56;48,1;48,16;44;44;-;48,16
02.01.2018;13:00;-;34,1;34,1;47,24;-;47,24;-;34,1;47,02;47,24;42,28;42,28;-;47,24
02.01.2018;14:00;-;35,98;35,98;46,1;-;46,1;-;35,98;46,06;46,1;41,82;41,82;-;46,1
02.01.2018;15:00;-;38,05;38,05;43,86;-;43,86;-;38,05;50,29;43,86;41,5;41,5;-;43,86
02.01.2018;16:00;-;41,67;41,67;43,64;-;43,64;-;41,67;52,57;43,64;45,62;45,62;-;43,64
02.01.2018;17:00;-;42,39;42,39;47,37;-;47,37;-;42,39;58,37;47,37;48,34;48,34;-;47,37
02.01.2018;18:00;-;45,06;45,06;46,08;-;46,08;-;37,79;57,79;46,08;46;46;-;46,08
02.01.2018;19:00;-;41,08;41,08;41,08;-;41,08;-;34,08;57,36;41,08;42,17;42,17;-;41,08
02.01.2018;20:00;-;34,94;31,55;34,94;-;34,94;-;30,88;53,24;34,94;38,65;38,65;-;34,94
02.01.2018;21:00;-;25,46;28,85;25,46;-;25,46;-;28,85;50,94;27,65;34;34;-;25,46
02.01.2018;22:00;-;21,3;27,99;23,25;-;27,09;-;27,99;47,1;45,14;30;30;-;21,3
02.01.2018;23:00;-;18,97;27,6;15,49;-;28,51;-;27,6;42,92;40,09;21,77;21,77;-;9,94
03.01.2018;00:00;-;18,11;18,11;12,14;-;27,74;-;27,12;34,3;10,1;9,6;9,6;-;7,93
03.01.2018;01:00;-;1,38;1,38;5,48;-;25,76;-;26,61;29,04;35,02;5,3;5,3;-;0,03
03.01.2018;02:00;-;0,02;0,02;5;-;21,1;-;26,26;25,54;28,85;0,31;1,09;-;0,02
03.01.2018;03:00;-;-5,99;-5,99;0,99;-;23,6;-;26,23;23,43;28;-1,97;0,21;-;-5,99
03.01.2018;04:00;-;-9,21;-9,21;-0,25;-;25,31;-;26,42;30,76;35,02;0,99;0,99;-;-9,21
03.01.2018;05:00;-;-4,64;-4,64;3,87;-;25,68;-;27,47;36,42;44,49;9,91;9,91;-;-4,64
03.01.2018;06:00;-;9,9;18,51;12,25;-;27,45;-;28,31;45,55;50,65;22,49;22,49;-;8,02
03.01.2018;07:00;-;26,97;28,95;19,42;-;37;-;28,95;55,03;67;35;35;-;11,03
03.01.2018;08:00;-;27,57;29,2;22,57;-;39,9;-;29,2;58,75;70;39,47;39,47;-;13,28
03.01.2018;09:00;-;27,72;29,28;22,37;-;43,1;-;29,28;58,25;68;40,6;40,6;-;13,18
03.01.2018;10:00;-;27,99;29,42;18,65;-;43,2;-;29,42;57,94;55,7;39,14;39,14;-;13,71
03.01.2018;11:00;-;28,52;29,25;19,35;-;45;-;29,25;56,81;53,3;34,56;34,56;-;15,42
03.01.2018;12:00;-;29,23;29,23;18,93;-;41,4;-;29,23;53,27;52,61;35,1;35,1;-;15,84
03.01.2018;13:00;-;29,49;29,49;17,26;-;42,8;-;29,49;52,93;50,65;36;36;-;16
03.01.2018;14:00;-;29,86;29,86;16,76;-;39,4;-;29,86;54,47;53,3;36,09;36,09;-;15,75
03.01.2018;15:00;-;30,51;30,51;18,09;-;37;-;30,51;56,2;39;40;40,78;-;15,14
03.01.2018;16:00;-;30,95;31,33;19,51;-;43,1;-;31,33;57,5;59;42;51,93;-;16
03.01.2018;17:00;-;31,28;31,59;24,13;-;59,9;-;31,59;58,06;70;40,68;59,66;-;15,11
03.01.2018;18:00;-;30,78;30,78;36,67;-;36,67;-;30,78;58,06;67,18;39,1;48,83;-;13,37
03.01.2018;19:00;-;30,15;30,15;26,27;-;41,7;-;30,15;58,05;62,6;38;41,84;-;11,06
03.01.2018;20:00;-;29,37;29,37;26,06;-;47,36;-;29,37;52,94;57,71;34,08;39;-;10,06
03.01.2018;21:00;-;28,93;28,93;19,88;-;35,8;-;28,93;48,36;53,3;21,72;35,84;-;9,3
03.01.2018;22:00;-;28,13;28,13;17,26;-;35,1;-;28,13;45,51;49,7;10,42;32,8;-;9,87
03.01.2018;23:00;-;27,31;27,31;13,87;-;35,1;-;27,31;41,03;44,15;0,37;24,16;-;4,97
04.01.2018;00:00;-;27,05;27,05;11,76;-;32,4;-;27,05;38,27;32,5;-5;24,89;-;-0,36
04.01.2018;01:00;-;26,78;26,78;3,46;-;27,8;-;26,78;31,06;23,23;-5,05;16,74;-;-5,57
04.01.2018;02:00;-;26,47;26,47;2,11;-;31;-;26,47;24,94;18,22;-16,5;6,44;-;-7,85
04.01.2018;03:00;-;26,49;26,49;2,63;-;28;-;26,49;23,67;17,3;-12,3;4,29;-;-5,29
04.01.2018;04:00;-;26,6;26,6;4,99;-;27,47;-;26,6;28,08;18,39;-4,7;10,73;-;-1,75
04.01.2018;05:00;-;17,31;27,01;11,08;-;27,9;-;27,01;39,21;33,67;5;29,4;-;6,01
04.01.2018;06:00;-;19,96;28,04;22,34;-;28,97;-;28,04;46,97;44,39;15;46,14;-;19,96
04.01.2018;07:00;-;33,59;30,43;33,59;-;33,59;-;30,43;56,38;49,78;28;49,79;-;33,59
04.01.2018;08:00;-;40,45;40,45;40,45;-;40,45;-;36,3;57,5;50,25;35,9;49,14;-;40,45
04.01.2018;09:00;-;41,97;41,97;41,97;-;41,97;-;34,97;57,55;50,8;39,93;51,29;-;41,97
04.01.2018;10:00;-;37,55;37,55;44,91;-;44,91;-;37,55;56,69;50;42,76;50,24;-;44,91
04.01.2018;11:00;-;36,02;36,02;47,14;-;49;-;36,02;54,92;50,1;43,99;51,29;-;48,22
04.01.2018;12:00;-;35,53;35,53;46,04;-;46,04;-;35,53;53,21;46,85;44;49,14;-;46,04
04.01.2018;13:00;-;35,3;35,3;34,36;-;47,5;-;35,3;52,32;46,5;43,8;47,61;-;42
04.01.2018;14:00;-;35,83;35,83;32,51;-;47,32;-;35,83;54,2;48,42;44;47;-;41,08
04.01.2018;15:00;-;42,04;42,04;32,77;-;48,8;-;37,83;55,97;50,57;45;49,14;-;42,04
04.01.2018;16:00;-;42,53;42,53;33,81;-;48,8;-;39,03;56,61;51,25;49,99;52,54;-;42,53
04.01.2018;17:00;-;51,43;51,43;50,08;-;52,4;-;37,91;54,9;55;51;60,03;-;51,43
04.01.2018;18:00;-;49,96;49,96;49,96;-;49,96;-;35,03;54,46;55;50,71;58,2;-;49,96
04.01.2018;19:00;-;46,73;46,73;46,73;-;46,73;-;31,87;54,15;54,1;48,32;56,68;-;46,73
04.01.2018;20:00;-;41,57;41,57;41,57;-;41,57;-;30,78;54,5;51,97;41,1;51,29;-;41,57
04.01.2018;21:00;-;37,09;37,09;37,09;-;37,09;-;30,27;52,1;47,97;29,33;40,89;-;37,09
04.01.2018;22:00;-;32,49;32,49;33,92;-;33,92;-;29,63;47,66;44,89;26;35,53;-;33,92
04.01.2018;23:00;-;28,05;28,05;31,5;-;31,5;-;28,05;44,03;37,1;19,4;34,06;-;28,05
05.01.2018;00:00;-;5,96;27,38;16,67;-;17,1;-;27,38;36,66;5,96;9,32;28,47;-;5,96
05.01.2018;01:00;-;-0,94;26,93;11,73;-;11,73;-;26,93;30;4,99;5,05;20,9;-;-0,94
05.01.2018;02:00;-;26,5;26,5;6,86;-;6,86;-;26,5;23,98;0,3;0,96;17,84;-;-0,03
05.01.2018;03:00;-;26,5;26,5;0,55;-;0,55;-;26,5;23,1;1;0,55;13,14;-;0,55
05.01.2018;04:00;-;26,88;26,88;2,45;-;34;-;26,88;25,28;4,99;3,29;16,16;-;-11,81
05.01.2018;05:00;-;27,66;27,66;13,51;-;26,77;-;27,66;36,51;40,7;5,01;31,69;-;8,92
05.01.2018;06:00;-;24,98;28,65;23,96;-;29,6;-;28,65;42,47;43,45;19,2;38,71;-;21,68
05.01.2018;07:00;-;30,44;30,44;33,39;-;39,9;-;30,44;50,82;30,44;29,77;38,14;-;30,44
05.01.2018;08:00;-;36,2;36,2;37,79;-;40,99;-;32,96;54,31;36,2;38,73;39,89;-;36,2
05.01.2018;09:00;-;36,3;36,3;36,93;-;38,06;-;35,43;54,37;36,3;40,3;40,3;-;36,3
05.01.2018;10:00;-;38,95;38,95;39,11;-;39,4;-;37,59;53,68;38,95;40,7;40,7;-;38,95
05.01.2018;11:00;-;39,4;39,4;39,4;-;39,4;-;37,55;53,1;39,4;41,8;41,8;-;39,4
05.01.2018;12:00;-;41,69;41,69;41,69;-;41,69;-;37,55;51,83;41,69;40,7;40,7;-;41,69
05.01.2018;13:00;-;42,41;42,41;47;-;47;-;37,52;49,99;43,69;39,74;39,74;-;43,69
05.01.2018;14:00;-;42,38;42,38;44,08;-;44,08;-;32,94;50,15;44,08;39,46;39,46;-;44,08
05.01.2018;15:00;-;47,1;47,1;47,1;-;47,1;-;37,51;52,03;47,1;39,6;39,6;-;47,1
05.01.2018;16:00;-;47,77;47,77;47,77;-;47,77;-;37,6;52,91;47,77;44,8;44,8;-;47,77
05.01.2018;17:00;-;56,35;56,35;56,35;-;56,35;-;37,56;54,25;56,35;50,08;50,08;-;56,35
05.01.2018;18:00;-;57,42;57,42;57,42;-;57,42;-;34;52,62;57,42;50,29;50,29;-;57,42
05.01.2018;19:00;-;53,92;53,92;53,99;-;53,99;-;32,25;50,03;53,99;46,57;46,57;-;53,99
05.01.2018;20:00;-;42,36;42,36;42,36;-;42,36;-;31,51;43;42,36;42;42;-;42,36
05.01.2018;21:00;-;39,9;39,9;39,9;-;39,9;-;31,25;39,99;39,9;37,08;37,08;-;39,9
05.01.2018;22:00;-;35,98;35,98;39,97;-;39,97;-;30,44;43,11;39,97;35,5;35,5;-;39,97
05.01.2018;23:00;-;35,24;35,24;36,27;-;36,27;-;29,64;39,49;36,27;31,23;31,23;-;36,27
06.01.2018;00:00;-;29,45;29,45;29,45;-;29,45;-;29,45;35,2;29,45;27,5;27,5;-;29,45
06.01.2018;01:00;-;28,55;28,55;28,55;-;28,55;-;28,55;29,26;28,55;27,1;27,1;-;28,55
06.01.2018;02:00;-;28,18;28,18;28,18;-;28,18;-;28,18;24,32;28,18;24,9;24,9;-;28,18
06.01.2018;03:00;-;28;28;25,27;-;28,93;-;28;22,68;27,33;23,57;23,57;-;27,33
06.01.2018;04:00;-;27,08;28,15;24,34;-;29,18;-;28,15;22,47;27,08;23,9;23,9;-;27,08
06.01.2018;05:00;-;28,7;28,7;27,42;-;29,65;-;28,7;29,31;28,7;24,42;24,42;-;28,7
06.01.2018;06:00;-;30;30;30;-;30;-;29,48;35,16;30;27,2;27,2;-;30
06.01.2018;07:00;-;31,36;31,36;31,36;-;31,36;-;30,35;35,36;31,36;27,84;27,84;-;31,36
06.01.2018;08:00;-;34,19;34,19;34,19;-;34,19;-;30,38;36,75;34,19;34,41;34,41;-;34,19
06.01.2018;09:00;-;41,11;41,11;41,11;-;41,11;-;30,9;38,01;41,11;37,17;37,17;-;41,11
06.01.2018;10:00;-;43,16;43,16;44;-;44;-;31,89;38,09;44;39,1;39,1;-;44
06.01.2018;11:00;-;43,17;43,17;43,74;-;43,74;-;32,86;39,02;43,74;40,55;40,55;-;43,74
06.01.2018;12:00;-;43,14;43,14;44,43;-;44,43;-;32,17;39,07;44,01;39,94;39,94;-;44,01
06.01.2018;13:00;-;39,96;39,96;42,9;-;42,9;-;31,79;39,05;42,9;39,45;39,45;-;42,9
06.01.2018;14:00;-;36,04;36,04;38,7;-;38,7;-;31,77;38,28;38,7;38,21;38,21;-;38,7
06.01.2018;15:00;-;34,91;34,91;37,4;-;37,4;-;33,05;38,35;37,4;39,89;39,89;-;37,4
06.01.2018;16:00;-;40,52;40,52;37,99;-;42,4;-;39,54;39,71;40,52;41,7;41,7;-;40,52
06.01.2018;17:00;-;43,91;43,91;44,22;-;46,38;-;41,39;46,93;45,46;46;46;-;45,46
06.01.2018;18:00;-;43,87;43,87;49,98;-;49,98;-;34,45;51,9;49,98;45,02;45,02;-;49,98
06.01.2018;19:00;-;35,09;35,09;45,9;-;45,9;-;31,93;51,84;45,9;42,68;42,68;-;45,9
06.01.2018;20:00;-;31,06;31,06;40,9;-;40,9;-;31,06;48,35;40,9;36,52;36,52;-;40,9
06.01.2018;21:00;-;30,72;30,72;33,69;-;33,69;-;30,72;45,18;33,69;31,96;31,96;-;33,69
06.01.2018;22:00;-;29,98;29,98;36,26;-;36,26;-;29,98;45,36;36,26;32;32;-;36,26
06.01.2018;23:00;-;29,03;29,03;29,03;-;29,03;-;29,03;38,03;29,03;27;27;-;29,03
07.01.2018;00:00;-;21,87;27,58;21,87;-;21,87;-;27,58;25,05;21,87;21,16;21,16;-;21,87
07.01.2018;01:00;-;15,98;25,9;15,98;-;15,98;-;25,9;17,89;15,98;15,92;15,92;-;15,98
07.01.2018;02:00;-;15,99;25,89;15,99;-;15,99;-;25,89;17,39;15,99;14,8;14,8;-;15,99
07.01.2018;03:00;-;26,16;26,16;14;-;14;-;26,16;14,43;14;13,23;13,23;-;14
07.01.2018;04:00;-;26,6;26,6;12,51;-;12,51;-;26,6;14,45;12,51;14,2;14,2;-;12,51
07.01.2018;05:00;-;27,14;27,14;13,21;-;13,21;-;27,14;31,15;13,21;12,78;12,78;-;13,21
07.01.2018;06:00;-;27,43;27,43;12,17;-;12,17;-;27,43;30,85;12,17;12,9;12,9;-;12,17
07.01.2018;07:00;-;27,69;27,69;13,02;-;13,02;-;27,69;16,5;13,02;14,5;14,5;-;13,02
07.01.2018;08:00;-;27,93;27,93;18,41;-;24,46;-;27,93;25,14;20,52;18;18,86;-;20,52
07.01.2018;09:00;-;28,33;28,33;19,58;-;30;-;28,33;23,91;23,22;23,2;27;-;23,22
07.01.2018;10:00;-;28,79;28,79;22,14;-;29,74;-;28,79;22,54;24,81;26,85;27,82;-;24,81
07.01.2018;11:00;-;28,95;28,95;28,44;-;29,91;-;28,95;24,15;28,95;29,44;29,79;-;28,95
07.01.2018;12:00;-;28,96;28,96;29,26;-;29,91;-;28,96;23,69;28,96;27,07;27,07;-;28,96
