# Specific emission factors per fuel type and country
# Manually scraped from the supplementary material of Tranberg.2019 (https://doi.org/10.1016/j.esr.2019.100367)

energy_type,AT,BE,BG,CZ,DE,DK,EE,ES,EU28,FI,FR,GB,GR,HU,IE,IT,LT,LV,ME,NL,NO,PL,PT,RO,RS,SE,SI,SK
high-voltage_mix,119,185,606,729,649,425,1030,331,422,259,38.8,800,976,397,509,463,545,516,422,614,9.38,998,354,392,848,17.4,432,214
wind,0.149,0.156,0.149,0.166,0.165,0.126,0.165,0.122,0.142,0.156,0.133,0.142,0.121,0.114,0.116,0.161,0.110,0.159,0.142,0.133,0.120,0.140,0.117,0.192,0.142,0.141,0.142,0.142
nuclear,10.3,10.1,10.1,10.1,9.37,10.3,10.3,10.2,10.3,10.5,10.6,10.3,10.3,10.1,10.3,10.3,10.3,10.3,10.3,10.1,10.3,10.3,10.3,12.3,10.3,10.3,10.1,10.1
geothermal,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664,0.00664
biomass_cogeneration,50.4,50.4,53.4,50.4,50.4,50.4,53.4,50.4,50.5,50.4,50.4,50.4,50.5,50.4,50.4,50.4,53.4,53.4,50.5,50.4,50.5,50.4,50.4,50.4,50.5,50.4,50.4,50.4
hydropower_pumped_storage,445,372,894,1140,958,611,611,539,611,611,70.8,611,1410,611,845,608,1030,611,611,611,35.2,1410,582,622,1210,611,610,678
hydropower_reservoir,0.445,8.13,8.13,44.8,44.8,8.13,8.13,44.8,8.13,44.8,0.445,8.13,8.13,8.13,8.13,0.445,8.13,8.13,8.13,8.13,0.445,8.13,44.8,8.13,0.445,44.8,8.13,44.8
hydropower_run-of-river,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253
coal,984,1120,1180,1180,1160,1160,1300,1210,1160,1080,1090,1140,1300,1400,1070,1150,1170,1160,1160,1030,1160,1160,1140,1140,1340,1170,1190,1160
coal_cogeneration,1220,1210,1250,1710,1160,1050,1210,1210,1210,1100,1210,1210,1560,1230,1210,1260,1210,1210,1210,996,1490,1160,1210,1230,1230,1370,1240,1530
gas,613,471,745,696,533,513,513,491,513,837,587,521,681,749,461,531,513,513,513,464,406,513,440,615,513,513,1090,694
gas_cogeneration,527,501,932,835,347,452,419,167,471,528,668,471,167,645,167,493,625,596,471,449,520,540,471,682,805,551,432,649
oil,1150,911,1660,1060,875,1240,1180,864,1010,446,951,1320,990,1130,917,1060,1010,1010,1010,1010,1010,1010,832,997,1010,852,1380,958
oil_cogeneration,957,852,962,1520,678,963,871,933,933,949,768,933,1070,871,933,902,1530,933,933,1070,933,878,609,1250,933,835,871,1390
low-voltage-mix,319,236,669,786,643,390,918,362,440,241,51.2,802,961,484,585,430,725,777,735,607,27.5,1030,396,468,937,39.3,444,455
solar,0.00580,0.00502,0.00423,0.00642,0.00448,0.00349,0.00349,0.00234,0.00349,0.00349,0.00370,0.00349,0.00415,0.00349,0.00349,0.00166,0.00591,0.00349,0.00349,0.00591,0.00349,0.00349,0.00185,0.00478,0.00445,0.00565,0.00453,0.00493
