Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Germany,DEU,4.296722359171,5.95688023861069,3.82614912948484,4.08396845995244,3.93799762071962,3.86668667893735,3.88447079934013,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Austria,AUT,5.90717299578059,5.33954638073287,4.93272882503606,5.31057297019527,4.88866249454228,5.24864446165763,5.32978447156583,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,France,FRA,6.64023643393201,5.68234476367006,6.27590667836288,5.82556728824983,6.7322715836427,6.62596006686085,6.34238936577899,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Albania,ALB,51.1832524271845,27.2498953537045,12.6585623678647,24.9343832020997,23.6825396825397,27.9925276620204,23.6875529212532,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Armenia,ARM,15.9139162323876,25.3776435045317,11.2463410876598,12.1668909825034,12.2075659532106,12.3086900129702,11.9870967741935,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Azerbaijan,AZE,13.4286454733932,14.8136263971335,20.4703367183324,19.5772149403765,14.6511223246911,14.0489851845508,13.5999676480104,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Belarus,BLR,10.9244547892526,13.0646335389449,10.8153030520132,10.5962732919255,11.0588006104094,10.6071666613768,9.17518353246006,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Belgium,BEL,5.12718374779491,4.57757964553659,4.56449223620688,4.66668164558384,5.06119748594112,4.87561462440972,5.42502307627759,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Bosnia and Herzegovina,BIH,10.388190267906,16.7705436762873,9.35529081990189,10.1374345549738,10.6234909813947,8.29751876683285,8.18069306930693,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Bulgaria,BGR,10.5431764789635,15.4750774984008,9.73553252059022,8.78795753953182,9.08349256102536,9.04362766723165,8.55158011379377,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Croatia,HRV,17.4795850805562,18.3077332859806,13.6658556366586,16.2842404838136,17.8136505239309,13.9384813938481,13.1289074129205,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Cyprus,CYP,5.62310030395137,5.5786350148368,4.13378429161969,3.24609454250355,2.90438838244647,4.33566433566434,3.97701149425287,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Czech Republic,CZE,6.41711229946524,6.79732824950968,5.23490247561891,5.07628837466581,4.83002064900158,4.76467305366943,4.52077653473724,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Denmark,DNK,9.4988838426603,5.83585277230744,6.75209716432505,6.24769366147208,7.00302921728934,5.55795412025444,6.13348247576435,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Estonia,EST,6.67597927943659,14.5777046869494,8.07621104597347,7.36058326223532,7.34519929806969,6.80225988700565,6.76522577534951,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Finland,FIN,5.0775143902753,3.76128958500057,3.42737437092496,3.67069835784547,4.13855789578333,3.66139466999733,4.07084324610098,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Georgia,GEO,16.9994170795686,16.8238146551724,10.8949032003161,11.2026682362174,11.2841670964415,8.00278357689631,5.78536303153023,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Gibraltar,GIB,6.32911392405063,3.2,2.82485875706215,2.92397660818713,2.84090909090909,3.17460317460317,3.03030303030303,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Greece,GRC,8.24155283968368,7.99812821712681,6.59438353060122,4.76576759278037,2.65093547909365,6.81969394544245,8.24146355997855,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Hungary,HUN,14.1932761288508,13.7535165241113,10.170988199406,10.505566506566,10.6366392377653,12.0915032679739,12.353701687534,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Iceland,ISL,8.75831485587583,4.11244143675169,4.09754381851222,2.92254953227587,2.76938856914924,2.06447339368514,2.74788942228108,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Ireland,IRL,8.96760137746855,8.53292780805137,7.53478137421919,7.55411574142247,7.4499834199182,7.95307917888563,7.92002479851209,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Italy,ITA,7.58115291324766,7.11377671417088,6.88482560338451,6.93435512626061,7.06361966780806,7.3589224372979,6.99384429518618,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Kazakhstan,KAZ,9.36380594879777,13.9642272620996,8.02579677177359,7.35338276395722,7.69471109818245,10.8394932386551,6.74039669547341,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Kosovo,XKX,..,23.0300980723706,17.9760061919505,16.2213411480779,15.6318357731785,13.4712643678161,15.0478292862399,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Kyrgyz Republic,KGZ,6.9349097381134,25.3901279217735,24.0909090909091,22.3578308483969,22.1584915611814,20.2769252729998,23.7304419434532,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Latvia,LVA,17.8399518652226,23.9845261121857,10.9400935566621,10.1083032490975,9.06437489865413,9.26075052343372,9.04493289243338,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Lithuania,LTU,5.46382679105791,11.5187483140005,19.8037645174209,20.5369759773905,19.4965776109516,20.6929283341243,21.9795037756203,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Luxembourg,LUX,14.4230769230769,9.71563981042654,3.77708978328173,4.56603773584906,4.38882843670656,6.5440778799351,6.2992125984252,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Moldova,MDA,7.52727945256149,25.4905458437389,23.5563553083592,21.0508123055652,21.664943123061,25.2282342462703,21.5286862268735,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Montenegro,MNE,..,..,16.5837891596221,24.7740963855422,24.4374120956399,19.2141951837769,17.5543649543019,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Netherlands,NLD,4.34498666073811,5.48582521672189,4.72289762723233,4.56112948939568,5.02526670409882,5.04541165369191,4.7709296254037,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,North Macedonia,MKD,8.97881208753039,15.1372779327558,17.6170798898072,20.535582186714,20.6962631747046,18.903839842468,19.8920729438035,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Norway,NOR,5.66231673121675,8.19656026552336,7.70135834726302,6.41687109282266,6.20414063991708,6.02461104949189,6.07961706767876,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Poland,POL,7.85626604173641,9.94174920027379,7.54413103399983,6.52165916698341,6.73052544353816,6.24733267488508,6.46655058419764,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Portugal,PRT,11.1565873967963,8.4132620123582,7.97154085414688,7.88236201048412,10.327804107425,10.7947124708117,10.0252121865317,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Romania,ROU,9.21954936323065,12.7642777371279,11.6432141737739,11.5179277085114,12.015517065369,11.9943282766161,10.8846354406307,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,Russian Federation,RUS,7.7864292631719,11.5966584062396,10.1275339826815,9.97169043524175,9.9752831958463,10.1167844975695,10.0314119960502,..,..,..,..,..
Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
