Datum;Uhrzeit;Deutschland/Österreich/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh]
01.01.2015;00:00;-;25,02;27,38;-;-;-;-;27,38;44,94;27,3;26,48;45,07
01.01.2015;01:00;-;18,29;18,29;-;-;-;-;23,37;43,43;23,25;24,2;44,16
01.01.2015;02:00;-;16,04;16,04;-;-;-;-;19,33;38,08;22,2;22,06;39,17
01.01.2015;03:00;-;14,6;14,6;-;-;-;-;17,66;35,47;19,56;20,27;26,93
01.01.2015;04:00;-;14,95;14,95;-;-;-;-;17,53;30,83;18,88;19,17;20,94
01.01.2015;05:00;-;14,5;14,5;-;-;-;-;18,07;28,26;18,39;17,9;18,52
01.01.2015;06:00;-;10,76;10,76;-;-;-;-;25,23;25,36;18,98;17,29;17,29
01.01.2015;07:00;-;12,01;12,01;-;-;-;-;26,8;26,93;23,56;17,39;17,39
01.01.2015;08:00;-;12,39;12,39;-;-;-;-;26,97;24,95;24,33;15,84;16,95
01.01.2015;09:00;-;14,04;14,04;-;-;-;-;26,29;26,71;26;18,55;20,61
01.01.2015;10:00;-;14,68;14,68;-;-;-;-;26,06;30,04;30;21,97;23,21
01.01.2015;11:00;-;16,08;16,08;-;-;-;-;25,56;31,77;33,86;23,94;25,84
01.01.2015;12:00;-;16,08;16,08;-;-;-;-;25,91;35,09;34;24,87;26,25
01.01.2015;13:00;-;16,05;25,42;-;-;-;-;25,42;35,39;32,75;24;24,83
01.01.2015;14:00;-;16,04;26,78;-;-;-;-;26,78;31,47;30;23,4;24,03
01.01.2015;15:00;-;16,1;27,51;-;-;-;-;27,51;29,08;32,49;23,3;23,9
01.01.2015;16:00;-;23,93;28,32;-;-;-;-;28,32;31,03;34,1;25,9;44,16
01.01.2015;17:00;-;26,9;28,36;-;-;-;-;28,36;39,09;42,88;30,5;48,62
01.01.2015;18:00;-;26,36;28,18;-;-;-;-;28,18;47,82;45,66;29,17;50,02
01.01.2015;19:00;-;23,98;27,81;-;-;-;-;27,81;50,75;43;27,09;52,04
01.01.2015;20:00;-;16,09;16,09;-;-;-;-;27,46;49,3;41,98;22,2;51,08
01.01.2015;21:00;-;14,08;14,08;-;-;-;-;27,06;48,24;39;18;45,04
01.01.2015;22:00;-;12,44;12,44;-;-;-;-;26,4;49,04;35,35;16,7;45,07
01.01.2015;23:00;-;0,04;0,04;-;-;-;-;18,36;46,14;29,9;10,7;43,04
02.01.2015;00:00;-;-12,11;-12,11;-;-;-;-;17,78;42,29;40;0,01;40,07
02.01.2015;01:00;-;-19,63;-19,63;-;-;-;-;9,62;38,1;38,18;-0,3;31,01
02.01.2015;02:00;-;-19,37;-19,37;-;-;-;-;7,67;38,03;33,26;-3,5;13,61
